from,to,count
"*reinfection death",#COVID19,20924
@DNC,@soloyochapin,48
@DNC,#COVID19,28
@DNC,@JoeBiden,14
@DNC,@realDonaldTrump,50
@DNC,@FLOTUS,13
@DNC,@GOP,11
@DNC,@HKrassenstein,9
@DNC,@POTUS,3
#MAGA,#TrumpHasCovid,4
#MAGA,#COVID19,19
#MAGA,#Trump,21
#MAGA,#TrumpCovid,4
@robjh1,#COVID19,8
*positive,#COVID19,41541
*positive,*trump,183549
*positive,*healthy,25082
#Doctors,#COVID19,10
#Doctors,#IMA,10
@GOP,@DrEricDing,1
@GOP,@soloyochapin,10
@GOP,#COVID19,13
@GOP,@JoeBiden,13
@GOP,@realDonaldTrump,60
@GOP,@HKrassenstein,9
@GOP,@POTUS,6
@GabrielScally,#COVID19,9
*healthy,#COVID19,23021
*healthy,*trump,31203
*healthy,*pandemic,25084
#coronavirus,#GlazersOutWoodwardOut,5
#coronavirus,#SARSCoV2,1
#coronavirus,#COVID19,32
#coronavirus,#DonaldTrump,7
#coronavirus,#TrumpCovid,9
#coronavirus,#Trump,8
@Rosie_wearamask,#COVID19,21
#POTUS,#TrumpHasCovid,5
#POTUS,#COVID19,9
#POTUS,#TrumpCovid,3
#POTUS,#DonaldTrump,2
#POTUS,#Trump,3
@soloyochapin,#COVID19,23
@soloyochapin,@JoeBiden,10
@soloyochapin,@realDonaldTrump,23
@soloyochapin,@FLOTUS,12
@soloyochapin,@HKrassenstein,9
@soloyochapin,@POTUS,1
#COVID19,#SARSCoV2,15
#COVID19,@FLOTUS,17
#COVID19,#DonaldTrump,16
#COVID19,*pandemic,30776
#COVID19,@JoeBiden,21
#COVID19,@EckerleIsabella,14
#COVID19,#WhiteHouse,7
#COVID19,#TrumpHasCorona,9
#COVID19,@CMonteroOficial,8
#COVID19,@Alyssa_Milano,15
#COVID19,#Trump,30
#COVID19,#TrumpHasCovid,26
#COVID19,#IMA,10
#COVID19,#SocialDistancing,18
#COVID19,@DrEricDing,41
#COVID19,*trump,20951
#COVID19,@realDonaldTrump,79
#COVID19,#Rona,6
#COVID19,@LaurenPelley,16
#COVID19,@IMAIndiaOrg,10
#COVID19,#WearADamnMask,7
#COVID19,@HKrassenstein,9
#COVID19,@SierraWhiskee,19
#COVID19,@POTUS,15
#COVID19,#GlazersOutWoodwardOut,8
#COVID19,#OurHavenBangChan,8
#COVID19,#WearAMask,22
#COVID19,@drapr007,15
#COVID19,@SKYRIDER4538,10
#COVID19,#TrumpCovid,28
#COVID19,#FakeNewsMedia,8
#COVID19,#BREAKING,17
#DonaldTrump,#TrumpHasCovid,9
#DonaldTrump,#GlazersOutWoodwardOut,9
#DonaldTrump,#OurHavenBangChan,5
#DonaldTrump,#TrumpCovid,18
#DonaldTrump,#BREAKING,2
#DonaldTrump,#Trump,21
@JoeBiden,@realDonaldTrump,204
@JoeBiden,@FLOTUS,13
@JoeBiden,@HKrassenstein,12
@JoeBiden,@POTUS,19
#WhiteHouse,#Rona,9
#WhiteHouse,#Trump,2
#WhiteHouse,#OurHavenBangChan,7
#WhiteHouse,#TrumpCovid,2
#TrumpHasCorona,#TrumpHasCovid,4
#TrumpHasCorona,#TrumpCovid,4
#TrumpHasCorona,#Trump,1
#Trump,#TrumpHasCovid,14
#Trump,#GlazersOutWoodwardOut,6
#Trump,#TrumpCovid,22
#TrumpHasCovid,#OurHavenBangChan,4
#TrumpHasCovid,#WearAMask,2
#TrumpHasCovid,#WearADamnMask,6
#TrumpHasCovid,#TrumpCovid,33
#SocialDistancing,#WearAMask,9
@DrEricDing,@realDonaldTrump,4
@DrEricDing,@HKrassenstein,1
@DrEricDing,@POTUS,1
@realDonaldTrump,@FLOTUS,2428
@realDonaldTrump,@HKrassenstein,18
@realDonaldTrump,@SierraWhiskee,21
@realDonaldTrump,@POTUS,192
#Rona,#OurHavenBangChan,7
#WearADamnMask,#TrumpCovid,4
@HKrassenstein,@FLOTUS,18
@POTUS,@FLOTUS,414
#GlazersOutWoodwardOut,#TrumpCovid,9
#WearAMask,#TrumpCovid,2
