#FreeOjahb,#signthepetition,
#FreeOjahb,#ReformTheNigerianPolice,
#FreeOjahb,#SARSENDED,
#FreeOjahb,#SARMUSTENDNOW,
#FreeOjahb,#ReformNigeriaPolice,
#EndASUUStrike,#FreeOjahb,
#FreeOjahb,#togetherwecan,
#FreeOjahb,#SARSOUT,
#EndAsuuStrikeNow,#FreeOjahb,
#FreeOjahb,#davido,
#EnsSARS,#FreeOjahb,
#EndBadGovernanceinNIGERIA,#FreeOjahb,
#FreeOjahb,#SarsAlert,
#FreeOjahb,#PoliceBrutalityInNigeria,
